Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;0
99 jaar;0;1 000
98 jaar;0;1 000
97 jaar;0;2 000
96 jaar;1 000;2 000
95 jaar;1 000;3 000
94 jaar;1 000;5 000
93 jaar;2 000;7 000
92 jaar;2 000;9 000
91 jaar;3 000;11 000
90 jaar;4 000;14 000
89 jaar;5 000;16 000
88 jaar;7 000;19 000
87 jaar;9 000;23 000
86 jaar;11 000;26 000
85 jaar;13 000;30 000
84 jaar;14 000;31 000
83 jaar;16 000;34 000
82 jaar;19 000;37 000
81 jaar;20 000;38 000
80 jaar;24 000;42 000
79 jaar;31 000;52 000
78 jaar;33 000;53 000
77 jaar;36 000;55 000
76 jaar;40 000;58 000
75 jaar;41 000;59 000
74 jaar;43 000;59 000
73 jaar;46 000;60 000
72 jaar;48 000;61 000
71 jaar;52 000;64 000
70 jaar;54 000;64 000
69 jaar;58 000;67 000
68 jaar;59 000;67 000
67 jaar;62 000;69 000
66 jaar;62 000;67 000
65 jaar;64 000;69 000
64 jaar;66 000;69 000
63 jaar;69 000;71 000
62 jaar;70 000;72 000
61 jaar;75 000;76 000
60 jaar;77 000;78 000
59 jaar;81 000;81 000
58 jaar;80 000;78 000
57 jaar;85 000;82 000
56 jaar;92 000;89 000
55 jaar;97 000;94 000
54 jaar;93 000;90 000
53 jaar;130 000;125 000
52 jaar;125 000;122 000
51 jaar;119 000;115 000
50 jaar;115 000;111 000
49 jaar;114 000;110 000
48 jaar;113 000;109 000
47 jaar;116 000;113 000
46 jaar;116 000;113 000
45 jaar;117 000;114 000
44 jaar;118 000;116 000
43 jaar;121 000;118 000
42 jaar;123 000;120 000
41 jaar;125 000;122 000
40 jaar;128 000;125 000
39 jaar;129 000;125 000
38 jaar;132 000;128 000
37 jaar;133 000;129 000
36 jaar;136 000;131 000
35 jaar;138 000;132 000
34 jaar;136 000;129 000
33 jaar;133 000;127 000
32 jaar;132 000;126 000
31 jaar;132 000;127 000
30 jaar;138 000;133 000
29 jaar;134 000;129 000
28 jaar;127 000;124 000
27 jaar;120 000;118 000
26 jaar;109 000;108 000
25 jaar;105 000;103 000
24 jaar;99 000;98 000
23 jaar;98 000;95 000
22 jaar;95 000;94 000
21 jaar;96 000;94 000
20 jaar;95 000;93 000
19 jaar;98 000;94 000
18 jaar;96 000;92 000
17 jaar;94 000;89 000
16 jaar;92 000;88 000
15 jaar;94 000;89 000
14 jaar;95 000;92 000
13 jaar;98 000;94 000
12 jaar;99 000;94 000
11 jaar;99 000;94 000
10 jaar;99 000;96 000
9 jaar;104 000;99 000
8 jaar;103 000;99 000
7 jaar;102 000;97 000
6 jaar;101 000;97 000
5 jaar;102 000;97 000
4 jaar;99 000;94 000
3 jaar;99 000;94 000
2 jaar;99 000;95 000
1 jaar;103 000;98 000
0 jaar;104 000;98 000
