Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;0
99 jaar;0;0
98 jaar;0;0
97 jaar;0;1 000
96 jaar;0;1 000
95 jaar;1 000;1 000
94 jaar;1 000;2 000
93 jaar;1 000;2 000
92 jaar;2 000;3 000
91 jaar;3 000;4 000
90 jaar;3 000;6 000
89 jaar;4 000;7 000
88 jaar;5 000;9 000
87 jaar;6 000;11 000
86 jaar;8 000;14 000
85 jaar;9 000;16 000
84 jaar;10 000;19 000
83 jaar;12 000;22 000
82 jaar;14 000;24 000
81 jaar;16 000;27 000
80 jaar;18 000;30 000
79 jaar;20 000;32 000
78 jaar;22 000;36 000
77 jaar;25 000;39 000
76 jaar;27 000;42 000
75 jaar;30 000;45 000
74 jaar;32 000;47 000
73 jaar;34 000;49 000
72 jaar;37 000;52 000
71 jaar;40 000;54 000
70 jaar;42 000;56 000
69 jaar;44 000;56 000
68 jaar;44 000;56 000
67 jaar;49 000;61 000
66 jaar;51 000;62 000
65 jaar;54 000;63 000
64 jaar;52 000;61 000
63 jaar;54 000;62 000
62 jaar;55 000;62 000
61 jaar;55 000;61 000
60 jaar;57 000;63 000
59 jaar;69 000;75 000
58 jaar;68 000;74 000
57 jaar;68 000;74 000
56 jaar;71 000;76 000
55 jaar;70 000;75 000
54 jaar;70 000;74 000
53 jaar;70 000;73 000
52 jaar;71 000;73 000
51 jaar;73 000;75 000
50 jaar;74 000;75 000
49 jaar;78 000;77 000
48 jaar;76 000;76 000
47 jaar;78 000;77 000
46 jaar;76 000;74 000
45 jaar;78 000;75 000
44 jaar;79 000;75 000
43 jaar;81 000;76 000
42 jaar;81 000;76 000
41 jaar;86 000;80 000
40 jaar;87 000;82 000
39 jaar;91 000;84 000
38 jaar;89 000;82 000
37 jaar;92 000;85 000
36 jaar;100 000;92 000
35 jaar;104 000;97 000
34 jaar;99 000;92 000
33 jaar;137 000;128 000
32 jaar;132 000;124 000
31 jaar;125 000;117 000
30 jaar;120 000;113 000
29 jaar;117 000;111 000
28 jaar;116 000;110 000
27 jaar;119 000;113 000
26 jaar;117 000;112 000
25 jaar;118 000;113 000
24 jaar;118 000;115 000
23 jaar;120 000;115 000
22 jaar;121 000;117 000
21 jaar;122 000;118 000
20 jaar;125 000;120 000
19 jaar;124 000;119 000
18 jaar;127 000;122 000
17 jaar;127 000;122 000
16 jaar;129 000;123 000
15 jaar;130 000;124 000
14 jaar;127 000;121 000
13 jaar;124 000;119 000
12 jaar;123 000;117 000
11 jaar;123 000;118 000
10 jaar;128 000;123 000
9 jaar;124 000;119 000
8 jaar;118 000;113 000
7 jaar;111 000;107 000
6 jaar;101 000;97 000
5 jaar;97 000;92 000
4 jaar;92 000;88 000
3 jaar;91 000;86 000
2 jaar;89 000;85 000
1 jaar;90 000;86 000
0 jaar;89 000;85 000
