Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;0
99 jaar;0;0
98 jaar;0;0
97 jaar;0;0
96 jaar;0;0
95 jaar;0;1 000
94 jaar;1 000;1 000
93 jaar;1 000;1 000
92 jaar;1 000;2 000
91 jaar;2 000;2 000
90 jaar;2 000;3 000
89 jaar;3 000;4 000
88 jaar;4 000;5 000
87 jaar;5 000;7 000
86 jaar;6 000;8 000
85 jaar;8 000;10 000
84 jaar;9 000;12 000
83 jaar;10 000;14 000
82 jaar;12 000;16 000
81 jaar;14 000;19 000
80 jaar;16 000;21 000
79 jaar;17 000;23 000
78 jaar;20 000;26 000
77 jaar;21 000;28 000
76 jaar;24 000;32 000
75 jaar;26 000;34 000
74 jaar;28 000;36 000
73 jaar;30 000;39 000
72 jaar;32 000;41 000
71 jaar;34 000;43 000
70 jaar;36 000;45 000
69 jaar;37 000;47 000
68 jaar;41 000;50 000
67 jaar;44 000;52 000
66 jaar;45 000;54 000
65 jaar;48 000;56 000
64 jaar;49 000;58 000
63 jaar;51 000;59 000
62 jaar;53 000;60 000
61 jaar;55 000;62 000
60 jaar;57 000;63 000
59 jaar;57 000;63 000
58 jaar;56 000;62 000
57 jaar;61 000;66 000
56 jaar;62 000;67 000
55 jaar;64 000;68 000
54 jaar;61 000;65 000
53 jaar;63 000;66 000
52 jaar;62 000;66 000
51 jaar;61 000;64 000
50 jaar;63 000;66 000
49 jaar;75 000;78 000
48 jaar;74 000;77 000
47 jaar;73 000;76 000
46 jaar;76 000;78 000
45 jaar;74 000;77 000
44 jaar;73 000;75 000
43 jaar;73 000;75 000
42 jaar;74 000;74 000
41 jaar;76 000;76 000
40 jaar;77 000;76 000
39 jaar;81 000;78 000
38 jaar;78 000;76 000
37 jaar;80 000;77 000
36 jaar;78 000;74 000
35 jaar;79 000;75 000
34 jaar;80 000;74 000
33 jaar;81 000;76 000
32 jaar;81 000;75 000
31 jaar;86 000;79 000
30 jaar;87 000;81 000
29 jaar;90 000;83 000
28 jaar;88 000;80 000
27 jaar;91 000;84 000
26 jaar;99 000;92 000
25 jaar;103 000;96 000
24 jaar;97 000;91 000
23 jaar;135 000;127 000
22 jaar;129 000;123 000
21 jaar;121 000;115 000
20 jaar;116 000;111 000
19 jaar;113 000;108 000
18 jaar;112 000;107 000
17 jaar;115 000;109 000
16 jaar;114 000;108 000
15 jaar;114 000;108 000
14 jaar;114 000;109 000
13 jaar;116 000;110 000
12 jaar;117 000;112 000
11 jaar;119 000;113 000
10 jaar;121 000;116 000
9 jaar;120 000;114 000
8 jaar;124 000;119 000
7 jaar;123 000;118 000
6 jaar;126 000;120 000
5 jaar;127 000;120 000
4 jaar;124 000;117 000
3 jaar;121 000;115 000
2 jaar;121 000;115 000
1 jaar;119 000;115 000
0 jaar;125 000;119 000
