Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;1 000
101 jaar;1 000;2 000
100 jaar;1 000;3 000
99 jaar;3 000;5 000
98 jaar;3 000;6 000
97 jaar;5 000;10 000
96 jaar;7 000;13 000
95 jaar;10 000;18 000
94 jaar;14 000;23 000
93 jaar;19 000;30 000
92 jaar;24 000;37 000
91 jaar;30 000;44 000
90 jaar;36 000;52 000
89 jaar;42 000;59 000
88 jaar;50 000;67 000
87 jaar;57 000;73 000
86 jaar;64 000;80 000
85 jaar;70 000;86 000
84 jaar;74 000;89 000
83 jaar;78 000;92 000
82 jaar;82 000;95 000
81 jaar;86 000;100 000
80 jaar;94 000;107 000
79 jaar;95 000;108 000
78 jaar;94 000;105 000
77 jaar;91 000;103 000
76 jaar;87 000;97 000
75 jaar;86 000;95 000
74 jaar;84 000;93 000
73 jaar;86 000;93 000
72 jaar;87 000;94 000
71 jaar;89 000;96 000
70 jaar;91 000;97 000
69 jaar;96 000;101 000
68 jaar;96 000;102 000
67 jaar;96 000;100 000
66 jaar;96 000;101 000
65 jaar;101 000;104 000
64 jaar;104 000;107 000
63 jaar;108 000;111 000
62 jaar;110 000;112 000
61 jaar;112 000;113 000
60 jaar;114 000;116 000
59 jaar;120 000;120 000
58 jaar;121 000;122 000
57 jaar;122 000;122 000
56 jaar;122 000;123 000
55 jaar;124 000;124 000
54 jaar;123 000;123 000
53 jaar;124 000;123 000
52 jaar;126 000;125 000
51 jaar;130 000;128 000
50 jaar;132 000;130 000
49 jaar;135 000;133 000
48 jaar;134 000;131 000
47 jaar;134 000;131 000
46 jaar;135 000;131 000
45 jaar;132 000;128 000
44 jaar;130 000;125 000
43 jaar;130 000;124 000
42 jaar;128 000;123 000
41 jaar;131 000;125 000
40 jaar;131 000;125 000
39 jaar;131 000;125 000
38 jaar;129 000;123 000
37 jaar;128 000;121 000
36 jaar;126 000;118 000
35 jaar;127 000;120 000
34 jaar;125 000;118 000
33 jaar;125 000;118 000
32 jaar;123 000;116 000
31 jaar;121 000;115 000
30 jaar;121 000;114 000
29 jaar;119 000;113 000
28 jaar;122 000;117 000
27 jaar;115 000;110 000
26 jaar;112 000;107 000
25 jaar;111 000;106 000
24 jaar;109 000;106 000
23 jaar;109 000;106 000
22 jaar;108 000;106 000
21 jaar;108 000;106 000
20 jaar;109 000;107 000
19 jaar;108 000;105 000
18 jaar;106 000;102 000
17 jaar;105 000;100 000
16 jaar;105 000;100 000
15 jaar;105 000;101 000
14 jaar;106 000;101 000
13 jaar;106 000;101 000
12 jaar;106 000;101 000
11 jaar;105 000;101 000
10 jaar;105 000;100 000
9 jaar;104 000;99 000
8 jaar;103 000;99 000
7 jaar;103 000;98 000
6 jaar;102 000;97 000
5 jaar;101 000;97 000
4 jaar;101 000;96 000
3 jaar;100 000;96 000
2 jaar;100 000;95 000
1 jaar;99 000;94 000
0 jaar;98 000;94 000
