Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;1 000
100 jaar;0;1 000
99 jaar;1 000;2 000
98 jaar;1 000;2 000
97 jaar;1 000;4 000
96 jaar;2 000;5 000
95 jaar;3 000;7 000
94 jaar;5 000;10 000
93 jaar;7 000;13 000
92 jaar;9 000;16 000
91 jaar;12 000;21 000
90 jaar;15 000;25 000
89 jaar;20 000;30 000
88 jaar;23 000;33 000
87 jaar;28 000;39 000
86 jaar;34 000;46 000
85 jaar;40 000;52 000
84 jaar;42 000;53 000
83 jaar;65 000;78 000
82 jaar;68 000;80 000
81 jaar;69 000;79 000
80 jaar;70 000;79 000
79 jaar;72 000;81 000
78 jaar;75 000;83 000
77 jaar;80 000;88 000
76 jaar;82 000;90 000
75 jaar;86 000;93 000
74 jaar;89 000;96 000
73 jaar;94 000;100 000
72 jaar;97 000;103 000
71 jaar;101 000;106 000
70 jaar;105 000;110 000
69 jaar;108 000;112 000
68 jaar;112 000;116 000
67 jaar;115 000;118 000
66 jaar;119 000;121 000
65 jaar;122 000;123 000
64 jaar;121 000;122 000
63 jaar;120 000;121 000
62 jaar;121 000;121 000
61 jaar;123 000;124 000
60 jaar;129 000;130 000
59 jaar;127 000;128 000
58 jaar;123 000;124 000
57 jaar;117 000;120 000
56 jaar;109 000;112 000
55 jaar;106 000;109 000
54 jaar;103 000;105 000
53 jaar;103 000;104 000
52 jaar;103 000;105 000
51 jaar;105 000;106 000
50 jaar;106 000;107 000
49 jaar;110 000;110 000
48 jaar;109 000;110 000
47 jaar;108 000;108 000
46 jaar;108 000;108 000
45 jaar;112 000;111 000
44 jaar;114 000;113 000
43 jaar;118 000;116 000
42 jaar;120 000;117 000
41 jaar;120 000;118 000
40 jaar;123 000;120 000
39 jaar;128 000;123 000
38 jaar;129 000;124 000
37 jaar;129 000;124 000
36 jaar;129 000;123 000
35 jaar;130 000;124 000
34 jaar;127 000;122 000
33 jaar;128 000;121 000
32 jaar;128 000;123 000
31 jaar;131 000;125 000
30 jaar;132 000;125 000
29 jaar;133 000;127 000
28 jaar;130 000;125 000
27 jaar;128 000;124 000
26 jaar;127 000;122 000
25 jaar;122 000;118 000
24 jaar;118 000;114 000
23 jaar;116 000;112 000
22 jaar;112 000;110 000
21 jaar;114 000;111 000
20 jaar;112 000;110 000
19 jaar;109 000;106 000
18 jaar;104 000;99 000
17 jaar;99 000;94 000
16 jaar;97 000;91 000
15 jaar;97 000;93 000
14 jaar;95 000;90 000
13 jaar;95 000;90 000
12 jaar;93 000;89 000
11 jaar;92 000;88 000
10 jaar;92 000;88 000
9 jaar;91 000;87 000
8 jaar;96 000;92 000
7 jaar;89 000;85 000
6 jaar;88 000;84 000
5 jaar;87 000;83 000
4 jaar;87 000;83 000
3 jaar;88 000;84 000
2 jaar;89 000;85 000
1 jaar;90 000;86 000
0 jaar;92 000;87 000
