Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;1 000
99 jaar;0;1 000
98 jaar;0;2 000
97 jaar;0;2 000
96 jaar;1 000;3 000
95 jaar;1 000;5 000
94 jaar;2 000;6 000
93 jaar;2 000;8 000
92 jaar;3 000;10 000
91 jaar;4 000;13 000
90 jaar;6 000;16 000
89 jaar;9 000;22 000
88 jaar;11 000;25 000
87 jaar;13 000;28 000
86 jaar;15 000;33 000
85 jaar;18 000;36 000
84 jaar;20 000;38 000
83 jaar;23 000;41 000
82 jaar;26 000;43 000
81 jaar;30 000;47 000
80 jaar;33 000;49 000
79 jaar;38 000;53 000
78 jaar;40 000;54 000
77 jaar;44 000;57 000
76 jaar;45 000;57 000
75 jaar;49 000;59 000
74 jaar;52 000;61 000
73 jaar;55 000;63 000
72 jaar;57 000;64 000
71 jaar;63 000;68 000
70 jaar;66 000;71 000
69 jaar;70 000;74 000
68 jaar;70 000;72 000
67 jaar;75 000;76 000
66 jaar;82 000;83 000
65 jaar;87 000;88 000
64 jaar;84 000;85 000
63 jaar;119 000;118 000
62 jaar;115 000;115 000
61 jaar;111 000;109 000
60 jaar;108 000;106 000
59 jaar;106 000;105 000
58 jaar;106 000;105 000
57 jaar;110 000;109 000
56 jaar;110 000;109 000
55 jaar;112 000;110 000
54 jaar;113 000;113 000
53 jaar;116 000;115 000
52 jaar;118 000;117 000
51 jaar;120 000;119 000
50 jaar;124 000;123 000
49 jaar;125 000;123 000
48 jaar;128 000;127 000
47 jaar;130 000;128 000
46 jaar;132 000;129 000
45 jaar;134 000;131 000
44 jaar;132 000;129 000
43 jaar;130 000;127 000
42 jaar;129 000;126 000
41 jaar;130 000;127 000
40 jaar;135 000;133 000
39 jaar;132 000;130 000
38 jaar;126 000;124 000
37 jaar;119 000;119 000
36 jaar;110 000;110 000
35 jaar;106 000;106 000
34 jaar;101 000;101 000
33 jaar;100 000;100 000
32 jaar;99 000;99 000
31 jaar;100 000;100 000
30 jaar;100 000;99 000
29 jaar;103 000;102 000
28 jaar;101 000;101 000
27 jaar;99 000;98 000
26 jaar;98 000;97 000
25 jaar;101 000;99 000
24 jaar;101 000;100 000
23 jaar;103 000;101 000
22 jaar;103 000;100 000
21 jaar;102 000;100 000
20 jaar;102 000;100 000
19 jaar;106 000;102 000
18 jaar;105 000;101 000
17 jaar;104 000;98 000
16 jaar;102 000;98 000
15 jaar;102 000;98 000
14 jaar;99 000;95 000
13 jaar;100 000;94 000
12 jaar;99 000;96 000
11 jaar;103 000;98 000
10 jaar;103 000;98 000
9 jaar;105 000;101 000
8 jaar;104 000;99 000
7 jaar;103 000;98 000
6 jaar;102 000;98 000
5 jaar;99 000;95 000
4 jaar;96 000;92 000
3 jaar;95 000;90 000
2 jaar;93 000;89 000
1 jaar;95 000;90 000
0 jaar;94 000;90 000
