Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;1 000
99 jaar;0;2 000
98 jaar;1 000;2 000
97 jaar;1 000;3 000
96 jaar;2 000;5 000
95 jaar;2 000;7 000
94 jaar;3 000;9 000
93 jaar;4 000;11 000
92 jaar;6 000;14 000
91 jaar;8 000;18 000
90 jaar;10 000;21 000
89 jaar;13 000;25 000
88 jaar;16 000;29 000
87 jaar;19 000;33 000
86 jaar;22 000;35 000
85 jaar;26 000;39 000
84 jaar;29 000;42 000
83 jaar;33 000;46 000
82 jaar;37 000;48 000
81 jaar;43 000;54 000
80 jaar;46 000;57 000
79 jaar;51 000;61 000
78 jaar;53 000;61 000
77 jaar;58 000;65 000
76 jaar;65 000;72 000
75 jaar;71 000;77 000
74 jaar;69 000;75 000
73 jaar;100 000;106 000
72 jaar;99 000;104 000
71 jaar;96 000;99 000
70 jaar;95 000;98 000
69 jaar;95 000;97 000
68 jaar;96 000;97 000
67 jaar;100 000;102 000
66 jaar;100 000;102 000
65 jaar;103 000;104 000
64 jaar;105 000;107 000
63 jaar;109 000;109 000
62 jaar;111 000;112 000
61 jaar;114 000;115 000
60 jaar;118 000;118 000
59 jaar;120 000;120 000
58 jaar;123 000;123 000
57 jaar;125 000;125 000
56 jaar;128 000;127 000
55 jaar;131 000;129 000
54 jaar;129 000;127 000
53 jaar;127 000;126 000
52 jaar;127 000;125 000
51 jaar;128 000;127 000
50 jaar;134 000;133 000
49 jaar;130 000;131 000
48 jaar;125 000;125 000
47 jaar;119 000;121 000
46 jaar;110 000;111 000
45 jaar;106 000;108 000
44 jaar;102 000;103 000
43 jaar;102 000;102 000
42 jaar;101 000;102 000
41 jaar;102 000;103 000
40 jaar;103 000;103 000
39 jaar;106 000;106 000
38 jaar;105 000;105 000
37 jaar;104 000;102 000
36 jaar;103 000;102 000
35 jaar;107 000;105 000
34 jaar;108 000;107 000
33 jaar;111 000;109 000
32 jaar;112 000;109 000
31 jaar;112 000;109 000
30 jaar;113 000;111 000
29 jaar;118 000;114 000
28 jaar;117 000;113 000
27 jaar;116 000;112 000
26 jaar;114 000;111 000
25 jaar;114 000;111 000
24 jaar;110 000;107 000
23 jaar;110 000;106 000
22 jaar;109 000;107 000
21 jaar;113 000;109 000
20 jaar;113 000;109 000
19 jaar;114 000;110 000
18 jaar;109 000;104 000
17 jaar;106 000;101 000
16 jaar;105 000;100 000
15 jaar;101 000;97 000
14 jaar;99 000;94 000
13 jaar;98 000;93 000
12 jaar;96 000;92 000
11 jaar;98 000;93 000
10 jaar;98 000;93 000
9 jaar;97 000;93 000
8 jaar;95 000;90 000
7 jaar;93 000;88 000
6 jaar;91 000;86 000
5 jaar;92 000;88 000
4 jaar;90 000;85 000
3 jaar;90 000;85 000
2 jaar;88 000;84 000
1 jaar;87 000;83 000
0 jaar;87 000;83 000
