Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;0
99 jaar;0;0
98 jaar;0;0
97 jaar;0;0
96 jaar;0;0
95 jaar;0;0
94 jaar;0;0
93 jaar;0;0
92 jaar;0;0
91 jaar;1 000;1 000
90 jaar;1 000;1 000
89 jaar;1 000;1 000
88 jaar;2 000;2 000
87 jaar;2 000;2 000
86 jaar;3 000;3 000
85 jaar;3 000;4 000
84 jaar;4 000;5 000
83 jaar;5 000;6 000
82 jaar;6 000;7 000
81 jaar;7 000;9 000
80 jaar;9 000;10 000
79 jaar;10 000;11 000
78 jaar;11 000;13 000
77 jaar;14 000;15 000
76 jaar;15 000;17 000
75 jaar;17 000;18 000
74 jaar;18 000;20 000
73 jaar;21 000;22 000
72 jaar;22 000;24 000
71 jaar;23 000;25 000
70 jaar;25 000;27 000
69 jaar;26 000;28 000
68 jaar;28 000;29 000
67 jaar;30 000;31 000
66 jaar;30 000;32 000
65 jaar;32 000;34 000
64 jaar;34 000;36 000
63 jaar;35 000;38 000
62 jaar;37 000;38 000
61 jaar;38 000;40 000
60 jaar;38 000;40 000
59 jaar;39 000;42 000
58 jaar;42 000;44 000
57 jaar;42 000;44 000
56 jaar;46 000;48 000
55 jaar;46 000;49 000
54 jaar;47 000;50 000
53 jaar;50 000;53 000
52 jaar;50 000;53 000
51 jaar;51 000;54 000
50 jaar;52 000;55 000
49 jaar;53 000;56 000
48 jaar;55 000;59 000
47 jaar;58 000;61 000
46 jaar;58 000;61 000
45 jaar;60 000;63 000
44 jaar;61 000;64 000
43 jaar;61 000;65 000
42 jaar;63 000;66 000
41 jaar;64 000;67 000
40 jaar;66 000;68 000
39 jaar;65 000;67 000
38 jaar;63 000;66 000
37 jaar;68 000;71 000
36 jaar;69 000;71 000
35 jaar;70 000;72 000
34 jaar;66 000;68 000
33 jaar;68 000;69 000
32 jaar;67 000;69 000
31 jaar;66 000;67 000
30 jaar;67 000;68 000
29 jaar;80 000;81 000
28 jaar;78 000;80 000
27 jaar;78 000;79 000
26 jaar;81 000;82 000
25 jaar;79 000;80 000
24 jaar;79 000;78 000
23 jaar;79 000;78 000
22 jaar;80 000;78 000
21 jaar;82 000;80 000
20 jaar;82 000;79 000
19 jaar;85 000;82 000
18 jaar;83 000;80 000
17 jaar;84 000;81 000
16 jaar;81 000;78 000
15 jaar;82 000;78 000
14 jaar;81 000;77 000
13 jaar;82 000;79 000
12 jaar;82 000;78 000
11 jaar;85 000;82 000
10 jaar;86 000;83 000
9 jaar;88 000;85 000
8 jaar;87 000;83 000
7 jaar;92 000;87 000
6 jaar;101 000;95 000
5 jaar;105 000;100 000
4 jaar;99 000;94 000
3 jaar;138 000;131 000
2 jaar;132 000;125 000
1 jaar;124 000;116 000
0 jaar;119 000;112 000
