Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;0
99 jaar;0;0
98 jaar;0;1 000
97 jaar;0;1 000
96 jaar;1 000;2 000
95 jaar;1 000;2 000
94 jaar;1 000;3 000
93 jaar;2 000;5 000
92 jaar;2 000;6 000
91 jaar;3 000;8 000
90 jaar;4 000;10 000
89 jaar;4 000;12 000
88 jaar;6 000;15 000
87 jaar;7 000;18 000
86 jaar;9 000;21 000
85 jaar;10 000;24 000
84 jaar;12 000;27 000
83 jaar;14 000;30 000
82 jaar;16 000;34 000
81 jaar;19 000;37 000
80 jaar;21 000;40 000
79 jaar;23 000;42 000
78 jaar;25 000;43 000
77 jaar;30 000;48 000
76 jaar;32 000;50 000
75 jaar;35 000;53 000
74 jaar;35 000;51 000
73 jaar;38 000;54 000
72 jaar;40 000;55 000
71 jaar;41 000;54 000
70 jaar;44 000;56 000
69 jaar;54 000;68 000
68 jaar;55 000;68 000
67 jaar;56 000;68 000
66 jaar;60 000;71 000
65 jaar;59 000;70 000
64 jaar;60 000;69 000
63 jaar;62 000;69 000
62 jaar;63 000;69 000
61 jaar;66 000;72 000
60 jaar;67 000;72 000
59 jaar;71 000;74 000
58 jaar;71 000;73 000
57 jaar;73 000;75 000
56 jaar;72 000;72 000
55 jaar;74 000;74 000
54 jaar;75 000;74 000
53 jaar;77 000;75 000
52 jaar;77 000;75 000
51 jaar;82 000;79 000
50 jaar;84 000;81 000
49 jaar;88 000;83 000
48 jaar;86 000;81 000
47 jaar;90 000;85 000
46 jaar;97 000;92 000
45 jaar;102 000;97 000
44 jaar;97 000;92 000
43 jaar;135 000;127 000
42 jaar;130 000;124 000
41 jaar;123 000;117 000
40 jaar;118 000;113 000
39 jaar;116 000;111 000
38 jaar;115 000;110 000
37 jaar;118 000;113 000
36 jaar;117 000;113 000
35 jaar;119 000;114 000
34 jaar;119 000;116 000
33 jaar;122 000;117 000
32 jaar;123 000;119 000
31 jaar;125 000;120 000
30 jaar;128 000;123 000
29 jaar;128 000;123 000
28 jaar;131 000;126 000
27 jaar;132 000;126 000
26 jaar;134 000;127 000
25 jaar;135 000;129 000
24 jaar;132 000;125 000
23 jaar;128 000;123 000
22 jaar;127 000;122 000
21 jaar;126 000;122 000
20 jaar;132 000;127 000
19 jaar;128 000;123 000
18 jaar;121 000;116 000
17 jaar;113 000;110 000
16 jaar;104 000;99 000
15 jaar;99 000;94 000
14 jaar;94 000;90 000
13 jaar;93 000;88 000
12 jaar;91 000;87 000
11 jaar;92 000;88 000
10 jaar;91 000;87 000
9 jaar;94 000;90 000
8 jaar;92 000;88 000
7 jaar;89 000;85 000
6 jaar;88 000;84 000
5 jaar;91 000;86 000
4 jaar;92 000;88 000
3 jaar;94 000;91 000
2 jaar;96 000;91 000
1 jaar;95 000;91 000
0 jaar;96 000;92 000
